Plot,Block,Row,Range,Weight,Height,Maturity,Yield,TuberSet
116,2,4,9,4.245,24,5,606.0048261,14.35714286
117,2,5,9,3.01,14,4,345.5065565,11.33333333
118,2,6,9,3.27,34.5,8,469.2043304,13.73333333
119,2,7,9,6.29,36,6,435.8083304,7.4
120,2,8,9,3.45,17.5,5,438.3019826,12.73333333
121,2,9,9,6.565,28.5,4,439.2868174,6.8
122,2,10,9,3.84,27,5,429.8235652,11.26666667
123,2,11,9,4.69,30,5,551.8930248,12
124,2,12,9,4.74,31.5,6,281.3407826,5.692307692
125,2,13,9,3.4,20.5,6,482.4301565,13.86666667
126,2,14,9,3.51,43,8,574.0702957,16.33333333
